id,timestamp,media_type,media_product_type,permalink,like_count,comments_count,reach,saved,shares,total_interactions,insights_error
18133610743335615,2024-05-17T20:36:06+0000,IMAGE,FEED,https://www.instagram.com/p/C7FU2RjxetN/,36,0,484,1,1,38,
18236964778254129,2024-05-17T00:06:36+0000,IMAGE,FEED,https://www.instagram.com/p/C7DIJGSxaEO/,20,0,478,1,0,21,
17903590004973520,2024-05-15T17:53:49+0000,IMAGE,FEED,https://www.instagram.com/p/C6_4r7qRzFK/,34,2,567,1,1,38,
17998760264355539,2024-05-15T01:22:42+0000,IMAGE,FEED,https://www.instagram.com/p/C6-HQzfr4S3/,23,0,413,0,1,24,
18032410438982325,2024-05-14T22:38:58+0000,IMAGE,FEED,https://www.instagram.com/p/C690hgzrpec/,51,0,547,1,0,52,
17865518901111004,2024-05-14T14:52:00+0000,IMAGE,FEED,https://www.instagram.com/p/C68_FZCRAhv/,44,2,597,2,0,48,
18267285217235437,2024-05-09T18:36:51+0000,IMAGE,FEED,https://www.instagram.com/p/C6wg15TxNJZ/,19,0,418,2,0,21,
18250419844219191,2024-05-09T16:57:49+0000,IMAGE,FEED,https://www.instagram.com/p/C6wVgjSrOZd/,36,2,534,2,1,41,
17897836718921412,2024-05-07T20:59:36+0000,IMAGE,FEED,https://www.instagram.com/p/C6rnloVxSld/,75,0,870,3,2,80,
18022280417175547,2024-05-07T16:06:24+0000,IMAGE,FEED,https://www.instagram.com/p/C6rGCKZR-Oy/,19,0,425,1,0,20,
17849787099195602,2024-05-03T23:18:11+0000,IMAGE,FEED,https://www.instagram.com/p/C6hkRGoxu7n/,70,1,819,2,1,74,
17940249677812011,2024-05-03T15:01:02+0000,IMAGE,FEED,https://www.instagram.com/p/C6grX-Luq80/,62,4,474,0,0,66,
18102352027399618,2024-05-02T15:41:35+0000,IMAGE,FEED,https://www.instagram.com/p/C6eLOC2rBWR/,28,2,316,0,0,30,
17845578909208604,2024-05-01T20:49:03+0000,IMAGE,FEED,https://www.instagram.com/p/C6cJnGyRQ-9/,23,0,375,1,0,24,
18048326179644451,2024-05-01T19:01:27+0000,IMAGE,FEED,https://www.instagram.com/p/C6b9TEdRuc9/,56,1,381,0,0,57,
18026323514077753,2024-05-01T12:42:35+0000,IMAGE,FEED,https://www.instagram.com/p/C6bR8MNrnK6/,23,0,255,0,0,23,
18429872146032376,2024-04-30T14:53:27+0000,IMAGE,FEED,https://www.instagram.com/p/C6Y8HvNOjWZ/,41,0,316,2,0,43,
18034316638914636,2024-04-29T15:43:01+0000,IMAGE,FEED,https://www.instagram.com/p/C6Wc_4PLypd/,87,2,495,2,1,92,
18086065837447358,2024-04-29T10:50:56+0000,IMAGE,FEED,https://www.instagram.com/p/C6V7ksguiDd/,20,1,371,0,0,21,
18026517035023792,2024-04-28T18:29:32+0000,IMAGE,FEED,https://www.instagram.com/p/C6ULQoQxTXM/,69,5,206,0,0,74,
18425058526020503,2024-04-25T13:30:56+0000,IMAGE,FEED,https://www.instagram.com/p/C6L6s-UrNbr/,21,0,141,0,0,21,
18107367931353718,2024-04-23T16:30:11+0000,IMAGE,FEED,https://www.instagram.com/p/C6HFoIXrOpk/,19,1,203,0,0,20,
18017962619032510,2024-04-22T23:30:06+0000,IMAGE,FEED,https://www.instagram.com/p/C6FQ4w9R-4w/,186,2,250,2,1,191,
18339940087118672,2024-04-22T11:46:02+0000,IMAGE,FEED,https://www.instagram.com/p/C6EAUFau8KC/,39,0,379,0,0,39,
17867759259098403,2024-04-21T15:15:52+0000,IMAGE,FEED,https://www.instagram.com/p/C6BziECLMor/,159,5,446,2,1,167,
18263646520237731,2024-04-19T15:49:10+0000,IMAGE,FEED,https://www.instagram.com/p/C58twKprbad/,19,0,428,1,0,20,
17998114886615364,2024-04-18T22:08:31+0000,IMAGE,FEED,https://www.instagram.com/p/C560XwHxqC4/,21,0,126,1,0,22,
18036838390849815,2024-04-17T11:21:01+0000,IMAGE,FEED,https://www.instagram.com/p/C53FeeGrJI0/,60,2,323,1,0,63,
18070174096499003,2024-04-16T10:50:09+0000,IMAGE,FEED,https://www.instagram.com/p/C50dJkBgsOo/,268,3,426,9,0,280,
17854206579161052,2024-04-15T20:01:02+0000,IMAGE,FEED,https://www.instagram.com/p/C5y3ZZgPxWI/,38,2,419,0,0,40,
18001541474580901,2024-04-15T15:11:31+0000,IMAGE,FEED,https://www.instagram.com/p/C5yWQ89LP1R/,36,2,420,2,1,41,
18428943289055601,2024-04-15T12:08:15+0000,IMAGE,FEED,https://www.instagram.com/p/C5yBSuGrYjo/,13,0,239,0,0,13,
18039429430829976,2024-04-14T23:26:17+0000,IMAGE,FEED,https://www.instagram.com/p/C5wqF3RMBeG/,73,3,275,4,0,80,
18014438906335859,2024-04-13T20:10:32+0000,IMAGE,FEED,https://www.instagram.com/p/C5tu5UaP6bB/,34,0,194,0,0,34,
17942743481798450,2024-04-13T11:31:06+0000,IMAGE,FEED,https://www.instagram.com/p/C5szc2Lgyse/,45,0,135,0,0,45,
17920002197882523,2024-04-13T05:47:36+0000,IMAGE,FEED,https://www.instagram.com/p/C5sMI7xMZHC/,11,0,118,0,0,11,
18020437814145386,2024-04-12T23:16:38+0000,IMAGE,FEED,https://www.instagram.com/p/C5rfZajseNK/,21,0,108,0,0,21,
